canonicalId,name,description,module,path,install_to_gomad
"gm-advanced-elicitation","gm-advanced-elicitation","Push the LLM to reconsider, refine, and improve its recent output. Use when user asks for deeper critique or mentions a known deeper critique method, e.g. socratic, first principles, pre-mortem, red team.","core","_gomad/core/gm-advanced-elicitation/SKILL.md","true"
"gm-brainstorming","gm-brainstorming","Facilitate interactive brainstorming sessions using diverse creative techniques and ideation methods. Use when the user says help me brainstorm or help me ideate.","core","_gomad/core/gm-brainstorming/SKILL.md","true"
"gm-distillator","gm-distillator","Lossless LLM-optimized compression of source documents. Use when the user requests to 'distill documents' or 'create a distillate'.","core","_gomad/core/gm-distillator/SKILL.md","true"
"gm-editorial-review-prose","gm-editorial-review-prose","Clinical copy-editor that reviews text for communication issues. Use when user says review for prose or improve the prose","core","_gomad/core/gm-editorial-review-prose/SKILL.md","true"
"gm-editorial-review-structure","gm-editorial-review-structure","Structural editor that proposes cuts, reorganization, and simplification while preserving comprehension. Use when user requests structural review or editorial review of structure","core","_gomad/core/gm-editorial-review-structure/SKILL.md","true"
"gm-help","gm-help","Analyzes current state and user query to answer GoMad questions or recommend the next skill(s) to use. Use when user asks for help, gomad help, what to do next, or what to start with in GoMad.","core","_gomad/core/gm-help/SKILL.md","true"
"gm-index-docs","gm-index-docs","Generates or updates an index.md to reference all docs in the folder. Use if user requests to create or update an index of all files in a specific folder","core","_gomad/core/gm-index-docs/SKILL.md","true"
"gm-party-mode","gm-party-mode","Orchestrates group discussions between installed GOMAD agents, enabling natural multi-agent conversations where each agent is a real subagent with independent thinking. Use when user requests party mode, wants multiple agent perspectives, group discussion, roundtable, or multi-agent conversation about their project.","core","_gomad/core/gm-party-mode/SKILL.md","true"
"gm-review-adversarial-general","gm-review-adversarial-general","Perform a Cynical Review and produce a findings report. Use when the user requests a critical review of something","core","_gomad/core/gm-review-adversarial-general/SKILL.md","true"
"gm-review-edge-case-hunter","gm-review-edge-case-hunter","Walk every branching path and boundary condition in content, report only unhandled edge cases. Orthogonal to adversarial review - method-driven not attitude-driven. Use when you need exhaustive edge-case analysis of code, specs, or diffs.","core","_gomad/core/gm-review-edge-case-hunter/SKILL.md","true"
"gm-shard-doc","gm-shard-doc","Splits large markdown documents into smaller, organized files based on level 2 (default) sections. Use if the user says perform shard document","core","_gomad/core/gm-shard-doc/SKILL.md","true"
"gm:agent-analyst","gm:agent-analyst","Strategic business analyst and requirements expert. Use when the user asks to talk to Mary or requests the business analyst.","agile","_gomad/agile/1-analysis/gm-agent-analyst/SKILL.md","true"
"gm:agent-tech-writer","gm:agent-tech-writer","Technical documentation specialist and knowledge curator. Use when the user asks to talk to Paige or requests the tech writer.","agile","_gomad/agile/1-analysis/gm-agent-tech-writer/SKILL.md","true"
"gm-document-project","gm-document-project","Document brownfield projects for AI context. Use when the user says ""document this project"" or ""generate project docs""","agile","_gomad/agile/1-analysis/gm-document-project/SKILL.md","true"
"gm-prfaq","gm-prfaq","Working Backwards PRFAQ challenge to forge product concepts. Use when the user requests to 'create a PRFAQ', 'work backwards', or 'run the PRFAQ challenge'.","agile","_gomad/agile/1-analysis/gm-prfaq/SKILL.md","true"
"gm-product-brief","gm-product-brief","Create or update product briefs through guided or autonomous discovery. Use when the user requests to create or update a Product Brief.","agile","_gomad/agile/1-analysis/gm-product-brief/SKILL.md","true"
"gm-domain-research","gm-domain-research","Conduct domain and industry research. Use when the user says wants to do domain research for a topic or industry","agile","_gomad/agile/1-analysis/research/gm-domain-research/SKILL.md","true"
"gm-market-research","gm-market-research","Conduct market research on competition and customers. Use when the user says they need market research","agile","_gomad/agile/1-analysis/research/gm-market-research/SKILL.md","true"
"gm-technical-research","gm-technical-research","Conduct technical research on technologies and architecture. Use when the user says they would like to do or produce a technical research report","agile","_gomad/agile/1-analysis/research/gm-technical-research/SKILL.md","true"
